window_id	item_id_seq_train	item_id_target	interaction_time_delta_train	session	common_item
348	3 2 5 1	2	0 7 2 49	714.0	1
349	3 2 5	1	0 7 2	714.0	0
350	3 2	5	0 7	714.0	1
351	3	2	0	714.0	1
352	2 1	2	7 7	715.0	1
353	2	1	7	715.0	0
354	2 1 3 2 2 1 3 2	2	4 7 0 0 15 8 0 30	716.0	1
355	2 1 3 2 2 1 3	2	4 7 0 0 15 8 0	716.0	1
356	2 1 3 2 2 1	3	4 7 0 0 15 8	716.0	0
357	2 1 3 2 2	1	4 7 0 0 15	716.0	0
358	2 1 3 2	2	4 7 0 0	716.0	1
359	2 1 3	2	4 7 0	716.0	1
360	2 1	3	4 7	716.0	0
361	2	1	4	716.0	0
362	3 2	2	0 15	720.0	1
363	3	2	0	720.0	1
364	2 2	1	67 47	721.0	0
365	2	2	67	721.0	1
366	2 2 2 2	1	0 112 0 0	722.0	0
367	2 2 2	2	0 112 0	722.0	1
368	2 2	2	0 112	722.0	1
369	2	2	0	722.0	1
370	1 2	2	1 0	724.0	1
371	1	2	1	724.0	1
372	2 3 2	2	76 0 81	727.0	1
373	2 3	2	76 0	727.0	1
374	2	3	76	727.0	0
375	1	2	17	731.0	1
376	2 1 2 3 2 2 2 3	2	10 7 10 0 2 12 0 1	732.0	1
377	2 1 2 3 2 2 2	3	10 7 10 0 2 12 0	732.0	0
378	2 1 2 3 2 2	2	10 7 10 0 2 12	732.0	1
379	2 1 2 3 2	2	10 7 10 0 2	732.0	1
380	2 1 2 3	2	10 7 10 0	732.0	1
381	2 1 2	3	10 7 10	732.0	0
382	2 1	2	10 7	732.0	1
383	2	1	10	732.0	0
384	2 3 2 1 3 2 2 1 1 2 3	2	18 0 4 13 0 0 0 100 2 0 33	739.0	1
385	2 3 2 1 3 2 2 1 1 2	3	18 0 4 13 0 0 0 100 2 0	739.0	0
386	2 3 2 1 3 2 2 1 1	2	18 0 4 13 0 0 0 100 2	739.0	1
387	2 3 2 1 3 2 2 1	1	18 0 4 13 0 0 0 100	739.0	0
388	2 3 2 1 3 2 2	1	18 0 4 13 0 0 0	739.0	0
389	2 3 2 1 3 2	2	18 0 4 13 0 0	739.0	1
390	2 3 2 1 3	2	18 0 4 13 0	739.0	1
391	2 3 2 1	3	18 0 4 13	739.0	0
392	2 3 2	1	18 0 4	739.0	0
393	2 3	2	18 0	739.0	1
394	2	3	18	739.0	0
395	2 2 2 2 2 2	2	5 21 17 42 3 19	745.0	1
396	2 2 2 2 2	2	5 21 17 42 3	745.0	1
397	2 2 2 2	2	5 21 17 42	745.0	1
398	2 2 2	2	5 21 17	745.0	1
399	2 2	2	5 21	745.0	1
400	2	2	5	745.0	1
401	2 2 3 1 2 3	2	51 0 2 5 11 0	746.0	1
402	2 2 3 1 2	3	51 0 2 5 11	746.0	0
403	2 2 3 1	2	51 0 2 5	746.0	1
404	2 2 3	1	51 0 2	746.0	0
405	2 2	3	51 0	746.0	0
406	2	2	51	746.0	1
407	2 3 2	2	3 0 51	750.0	1
408	2 3	2	3 0	750.0	1
409	2	3	3	750.0	0
410	5 2 2 2 2 2 4 5 7 1 2	2	0 2 29 83 84 6 0 21 4 7 0	752.0	1
411	5 2 2 2 2 2 4 5 7 1	2	0 2 29 83 84 6 0 21 4 7	752.0	1
412	5 2 2 2 2 2 4 5 7	1	0 2 29 83 84 6 0 21 4	752.0	0
413	5 2 2 2 2 2 4 5	7	0 2 29 83 84 6 0 21	752.0	1
414	5 2 2 2 2 2 4	5	0 2 29 83 84 6 0	752.0	1
415	5 2 2 2 2 2	4	0 2 29 83 84 6	752.0	0
416	5 2 2 2 2	2	0 2 29 83 84	752.0	1
417	5 2 2 2	2	0 2 29 83	752.0	1
418	5 2 2	2	0 2 29	752.0	1
419	5 2	2	0 2	752.0	1
420	5	2	0	752.0	1
421	2	2	2	758.0	1
422	2 2	2	2 13	759.0	1
423	2	2	2	759.0	1
424	2 2 3 2 2 2 2 2 3 2 2 2 3 3 2 15 5 1 2	7	3 12 0 0 22 0 5 13 0 2 0 2 1 0 7 34 1 0 5	761.0	1
425	2 2 3 2 2 2 2 2 3 2 2 2 3 3 2 15 5 1	2	3 12 0 0 22 0 5 13 0 2 0 2 1 0 7 34 1 0	761.0	1
426	2 2 3 2 2 2 2 2 3 2 2 2 3 3 2 15 5	1	3 12 0 0 22 0 5 13 0 2 0 2 1 0 7 34 1	761.0	0
427	2 2 3 2 2 2 2 2 3 2 2 2 3 3 2 15	5	3 12 0 0 22 0 5 13 0 2 0 2 1 0 7 34	761.0	1
428	2 2 3 2 2 2 2 2 3 2 2 2 3 3 2	15	3 12 0 0 22 0 5 13 0 2 0 2 1 0 7	761.0	1
429	2 2 3 2 2 2 2 2 3 2 2 2 3 3	2	3 12 0 0 22 0 5 13 0 2 0 2 1 0	761.0	1
430	2 2 3 2 2 2 2 2 3 2 2 2 3	3	3 12 0 0 22 0 5 13 0 2 0 2 1	761.0	0
431	2 2 3 2 2 2 2 2 3 2 2 2	3	3 12 0 0 22 0 5 13 0 2 0 2	761.0	0
432	2 2 3 2 2 2 2 2 3 2 2	2	3 12 0 0 22 0 5 13 0 2 0	761.0	1
433	2 2 3 2 2 2 2 2 3 2	2	3 12 0 0 22 0 5 13 0 2	761.0	1
434	2 2 3 2 2 2 2 2 3	2	3 12 0 0 22 0 5 13 0	761.0	1
435	2 2 3 2 2 2 2 2	3	3 12 0 0 22 0 5 13	761.0	0
436	2 2 3 2 2 2 2	2	3 12 0 0 22 0 5	761.0	1
437	2 2 3 2 2 2	2	3 12 0 0 22 0	761.0	1
438	2 2 3 2 2	2	3 12 0 0 22	761.0	1
439	2 2 3 2	2	3 12 0 0	761.0	1
440	2 2 3	2	3 12 0	761.0	1
441	2 2	3	3 12	761.0	0
442	2	2	3	761.0	1
443	3 2 5 2 2 1	1	0 30 42 26 0 7	765.0	0
444	3 2 5 2 2	1	0 30 42 26 0	765.0	0
445	3 2 5 2	2	0 30 42 26	765.0	1
446	3 2 5	2	0 30 42	765.0	1
447	3 2	5	0 30	765.0	1
448	3	2	0	765.0	1
449	2 2 2 17 5 5	17	9 15 16 0 1 3	766.0	0
450	2 2 2 17 5	5	9 15 16 0 1	766.0	1
451	2 2 2 17	5	9 15 16 0	766.0	1
452	2 2 2	17	9 15 16	766.0	0
453	2 2	2	9 15	766.0	1
454	2	2	9	766.0	1
455	2	1	0	768.0	0
456	1 5 5 2	2	1 0 13 0	769.0	1
457	1 5 5	2	1 0 13	769.0	1
458	1 5	5	1 0	769.0	1
459	1	5	1	769.0	1
460	1	2	40	773.0	1
461	2 2 1 2	2	40 6 8 13	775.0	1
462	2 2 1	2	40 6 8	775.0	1
463	2 2	1	40 6	775.0	0
464	2	2	40	775.0	1
465	2 2 4 4 4 15 3 2 2 7 3 2 2 3 2	6	19 1 1 0 15 0 0 0 5 2 0 0 24 0 0	778.0	1
466	2 2 4 4 4 15 3 2 2 7 3 2 2 3	2	19 1 1 0 15 0 0 0 5 2 0 0 24 0	778.0	1
467	2 2 4 4 4 15 3 2 2 7 3 2 2	3	19 1 1 0 15 0 0 0 5 2 0 0 24	778.0	0
468	2 2 4 4 4 15 3 2 2 7 3 2	2	19 1 1 0 15 0 0 0 5 2 0 0	778.0	1
469	2 2 4 4 4 15 3 2 2 7 3	2	19 1 1 0 15 0 0 0 5 2 0	778.0	1
470	2 2 4 4 4 15 3 2 2 7	3	19 1 1 0 15 0 0 0 5 2	778.0	0
471	2 2 4 4 4 15 3 2 2	7	19 1 1 0 15 0 0 0 5	778.0	1
472	2 2 4 4 4 15 3 2	2	19 1 1 0 15 0 0 0	778.0	1
473	2 2 4 4 4 15 3	2	19 1 1 0 15 0 0	778.0	1
474	2 2 4 4 4 15	3	19 1 1 0 15 0	778.0	0
475	2 2 4 4 4	15	19 1 1 0 15	778.0	1
476	2 2 4 4	4	19 1 1 0	778.0	0
477	2 2 4	4	19 1 1	778.0	0
478	2 2	4	19 1	778.0	0
479	2	2	19	778.0	1
480	4 4 4 3	2	8 0 55 0	781.0	1
481	4 4 4	3	8 0 55	781.0	0
482	4 4	4	8 0	781.0	0
483	4	4	8	781.0	0
484	5 15 5	7	6 28 4	782.0	1
485	5 15	5	6 28	782.0	1
486	5	15	6	782.0	1
487	1 2 2	2	5 44 53	788.0	1
488	1 2	2	5 44	788.0	1
489	1	2	5	788.0	1
490	2 2	2	16 1	789.0	1
491	2	2	16	789.0	1
492	2 2 2	2	58 2 39	790.0	1
493	2 2	2	58 2	790.0	1
494	2	2	58	790.0	1
495	2 2 2 1 3 2 2 2 2 3 2 2 2 2 2 2 2 2 2	2	56 13 15 21 0 0 4 0 4 0 4 1 8 22 17 82 89 63 11	792.0	1
496	2 2 2 1 3 2 2 2 2 3 2 2 2 2 2 2 2 2	2	56 13 15 21 0 0 4 0 4 0 4 1 8 22 17 82 89 63	792.0	1
497	2 2 2 1 3 2 2 2 2 3 2 2 2 2 2 2 2	2	56 13 15 21 0 0 4 0 4 0 4 1 8 22 17 82 89	792.0	1
498	2 2 2 1 3 2 2 2 2 3 2 2 2 2 2 2	2	56 13 15 21 0 0 4 0 4 0 4 1 8 22 17 82	792.0	1
499	2 2 2 1 3 2 2 2 2 3 2 2 2 2 2	2	56 13 15 21 0 0 4 0 4 0 4 1 8 22 17	792.0	1
500	2 2 2 1 3 2 2 2 2 3 2 2 2 2	2	56 13 15 21 0 0 4 0 4 0 4 1 8 22	792.0	1
501	2 2 2 1 3 2 2 2 2 3 2 2 2	2	56 13 15 21 0 0 4 0 4 0 4 1 8	792.0	1
502	2 2 2 1 3 2 2 2 2 3 2 2	2	56 13 15 21 0 0 4 0 4 0 4 1	792.0	1
503	2 2 2 1 3 2 2 2 2 3 2	2	56 13 15 21 0 0 4 0 4 0 4	792.0	1
504	2 2 2 1 3 2 2 2 2 3	2	56 13 15 21 0 0 4 0 4 0	792.0	1
505	2 2 2 1 3 2 2 2 2	3	56 13 15 21 0 0 4 0 4	792.0	0
